City_ID,City,Country,Max Temp,Current Weather Description,Lat,Lng,Hotel Name
125,Vila Velha,BR,78.75,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
126,Maragogi,BR,78.84,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
127,Faanui,PF,77.49,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
129,Margate,GB,69.12,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
132,Arraial Do Cabo,BR,80.56,few clouds,-22.9661,-42.0278,Pousada Porto Praia
133,Luanda,AO,70.68,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
134,Castro,BR,73.04,clear sky,-24.7911,-50.0119,CHACARA BAILLY
135,Fare,PF,78.51,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
136,Namibe,AO,67.87,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
137,Katsuura,JP,79.3,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
138,Jaca,ES,89.02,clear sky,42.569,-0.5499,Hotel Real Jaca & Spa
140,Rio Grande,BR,64.51,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
141,Isiro,CD,72.79,overcast clouds,2.7739,27.616,Guest House Hewa Bora
144,Ugoofaaru,MV,82.06,scattered clouds,5.6667,73.0,Ungoofaaru Inn
145,Baoshan,CN,71.94,overcast clouds,46.5586,131.4244,Kelaixiang Restaurant
146,Santa Cruz Del Sur,CU,86.2,overcast clouds,20.7147,-77.9956,
147,Bubaque,GW,79.0,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
148,Inhambane,MZ,71.58,few clouds,-23.865,35.3833,Oceano
149,Kingisepp,RU,64.92,overcast clouds,59.3733,28.6134,Narva
150,Nouadhibou,MR,82.38,few clouds,20.931,-17.0347,El Medina
152,Mabaruma,GY,86.11,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
154,La Mana,EC,75.92,light rain,-0.9333,-79.2167,Hotel Somagg
157,Payson,US,85.55,scattered clouds,40.0444,-111.7321,Quality Inn Payson I-15
158,Saskylakh,RU,73.0,broken clouds,71.9167,114.0833,
161,Menongue,AO,77.36,scattered clouds,-14.6585,17.691,Ritz Lauca
162,Tautira,PF,76.23,light rain,-17.7333,-149.15,Pension Oaoa
163,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,Atlantis Hotel
164,Sitia,GR,79.57,clear sky,35.2,26.0986,Sitia Bay
166,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
171,Khambhat,IN,83.98,broken clouds,22.3,72.6167,Anand
172,Bolobo,CD,89.4,broken clouds,-2.1667,16.2333,Hotel de Stephen
174,Jiaozuo,CN,76.95,overcast clouds,35.2397,113.2331,Days Hotel and Suites Jiaozuo
175,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Pirineos
176,Gigmoto,PH,81.37,light rain,13.7796,124.39,Cj's Travellers Inn
177,Lasa,IT,77.68,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
178,Chuy,UY,62.28,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
180,Chara,RU,65.41,overcast clouds,56.9064,118.2631,
182,Govindgarh,IN,87.66,heavy intensity rain,27.5,76.9833,Deepak sharma Jahanpur Waale
183,Bonavista,CA,62.56,overcast clouds,48.6499,-53.1147,Sweet Sharons bnb
184,Asau,RO,79.72,broken clouds,46.4333,26.4,Casa Mika Ciobanus
185,Sao Filipe,CV,80.02,overcast clouds,14.8961,-24.4956,Hotel Xaguate
189,Monrovia,LR,74.64,light rain,6.3005,-10.7969,Sunset Inn
190,Hirara,JP,84.92,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
191,Redding,US,83.66,clear sky,40.5865,-122.3917,Redding Inn & Suites
192,Rafaela,AR,82.81,overcast clouds,-31.2503,-61.4867,Parra Hotel & Suites
194,Ketovo,RU,61.12,overcast clouds,55.355,65.3258,Usadba Divnaya
195,Gamba,GA,73.22,overcast clouds,-2.65,10.0,
197,Muzhi,RU,62.44,clear sky,65.3667,64.6667,Gostinitsa
198,Balarampur,IN,83.82,overcast clouds,23.1167,86.2167,Ashok general store
199,Abu Zabad,SD,79.93,overcast clouds,12.35,29.25,حامد محمد نور
200,Nakamura,JP,76.6,scattered clouds,32.9833,132.9333,Hotel Crown Hills Nakamura
203,Cidreira,BR,67.44,overcast clouds,-30.1811,-50.2056,Hotel Castelo
205,Poum,NC,73.98,overcast clouds,-20.2333,164.0167,
206,Belyy Yar,RU,64.29,clear sky,53.6039,91.3903,Pasportnyy Stol
207,La Mata,PA,82.65,broken clouds,8.0833,-80.8833,Black Lion Inn
211,Challans,FR,83.32,scattered clouds,46.8436,-1.8749,Citotel Le Challans
213,Road Town,VG,86.04,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
214,Georgetown,MY,82.33,moderate rain,5.4112,100.3354,Cititel Penang
215,Tura,IN,74.77,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
217,Denpasar,ID,78.46,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
219,Panjab,AF,68.18,clear sky,34.388,67.0233,
220,Mayumba,GA,72.81,broken clouds,-3.432,10.6554,LIKWALE LODGE
